droga;koszt;czas[s]
[5];132;0,0
[5];132;0,0
[5];132;0,0010013580322265625
[5];132;0,0
[5];132;0,0010008811950683594
[5];132;0,0
[5];132;0,0
[5];132;0,001001119613647461
[5];132;0,0
[5];132;0,0010004043579101562
[5];132;0,0
[5];132;0,0
[5];132;0,001001596450805664
[5];132;0,0
[5];132;0,0010004043579101562
[5];132;0,0
[5];132;0,0
[5];132;0,0010008811950683594
[5];132;0,0
[5];132;0,0
[5];132;0,0010006427764892578
[5];132;0,0
[5];132;0,001001119613647461
[5];132;0,0
[5];132;0,0
[5];132;0,001001119613647461
[5];132;0,0
[5];132;0,0
[5];132;0,0010004043579101562
[5];132;0,0
[5];132;0,0010018348693847656
[5];132;0,0
[5];132;0,0
[5];132;0,0010008811950683594
[5];132;0,0
[5];132;0,0
[5];132;0,0010004043579101562
[5];132;0,0
[5];132;0,0010008811950683594
[5];132;0,0
[5];132;0,0
[5];132;0,001001119613647461
[5];132;0,0
[5];132;0,0
[5];132;0,0010008811950683594
[5];132;0,0
[5];132;0,0
[5];132;0,0010006427764892578
[5];132;0,0
[5];132;0,0010008811950683594
[5];132;0,0
[5];132;0,0
[5];132;0,001001119613647461
[5];132;0,0
[5];132;0,0
[5];132;0,0010004043579101562
[5];132;0,0
[5];132;0,0010018348693847656
[5];132;0,0
[5];132;0,0
[5];132;0,0010008811950683594
[5];132;0,0
[5];132;0,0
[5];132;0,0010004043579101562
[5];132;0,0
[5];132;0,0010013580322265625
[5];132;0,0
[5];132;0,0
[5];132;0,0010006427764892578
[5];132;0,0
[5];132;0,0
[5];132;0,0010008811950683594
[5];132;0,0
[5];132;0,0
[5];132;0,001001119613647461
[5];132;0,0
[5];132;0,0010006427764892578
[5];132;0,0
[5];132;0,0
[5];132;0,0010006427764892578
[5];132;0,0
[5];132;0,0
[5];132;0,0010008811950683594
[5];132;0,0
[5];132;0,0
[5];132;0,001001596450805664
[5];132;0,0
[5];132;0,001001119613647461
[5];132;0,0
[5];132;0,0
[5];132;0,0010001659393310547
[5];132;0,0
[5];132;0,0
[5];132;0,001001119613647461
[5];132;0,0
[5];132;0,0
[5];132;0,0010006427764892578
[5];132;0,0
[5];132;0,001001119613647461
[5];132;0,0
[4];80;0,002000570297241211
[4];80;0,0010008811950683594
[4];80;0,001001119613647461
[4];80;0,0010006427764892578
[4];80;0,0020024776458740234
[4];80;0,0010008811950683594
[4];80;0,0010008811950683594
[4];80;0,0010008811950683594
[4];80;0,0010018348693847656
[4];80;0,0010001659393310547
[4];80;0,001001596450805664
[4];80;0,0010001659393310547
[4];80;0,001001119613647461
[4];80;0,0010006427764892578
[4];80;0,0010008811950683594
[4];80;0,0010006427764892578
[4];80;0,002002239227294922
[4];80;0,0010018348693847656
[4];80;0,0009999275207519531
[4];80;0,0010013580322265625
[4];80;0,0010004043579101562
[4];80;0,0010008811950683594
[4];80;0,0010008811950683594
[4];80;0,0010008811950683594
[4];80;0,001001119613647461
[4];80;0,0010013580322265625
[4];80;0,0010004043579101562
[4];80;0,001001119613647461
[4];80;0,002001523971557617
[4];80;0,0010013580322265625
[4];80;0,0010004043579101562
[4];80;0,0010008811950683594
[4];80;0,0010013580322265625
[4];80;0,0010006427764892578
[4];80;0,001001119613647461
[4];80;0,0010004043579101562
[4];80;0,0010018348693847656
[4];80;0,0010001659393310547
[4];80;0,001001596450805664
[4];80;0,0020017623901367188
[4];80;0,0009999275207519531
[4];80;0,001001119613647461
[4];80;0,0010008811950683594
[4];80;0,0010008811950683594
[4];80;0,001001119613647461
[4];80;0,001001596450805664
[4];80;0,0010001659393310547
[4];80;0,001001596450805664
[4];80;0,0010004043579101562
[4];80;0,0010006427764892578
[4];80;0,002002239227294922
[4];80;0,0010006427764892578
[4];80;0,0010006427764892578
[4];80;0,001001119613647461
[4];80;0,001001596450805664
[4];80;0,0010008811950683594
[4];80;0,0010008811950683594
[4];80;0,0010004043579101562
[4];80;0,0010006427764892578
[4];80;0,001001119613647461
[4];80;0,001001119613647461
[4];80;0,001001119613647461
[4];80;0,0010004043579101562
[4];80;0,0020029544830322266
[4];80;0,0009999275207519531
[4];80;0,001001596450805664
[4];80;0,0010006427764892578
[4];80;0,0010001659393310547
[4];80;0,001001119613647461
[4];80;0,0010013580322265625
[4];80;0,0010004043579101562
[4];80;0,001001119613647461
[4];80;0,0010008811950683594
[4];80;0,001001596450805664
[4];80;0,002001523971557617
[4];80;0,0010004043579101562
[4];80;0,001001119613647461
[4];80;0,001001119613647461
[4];80;0,0010004043579101562
[4];80;0,001001119613647461
[4];80;0,001001119613647461
[4];80;0,0010006427764892578
[4];80;0,0010013580322265625
[4];80;0,0010006427764892578
[4];80;0,0010013580322265625
[4];80;0,0010004043579101562
[4];80;0,0020017623901367188
[4];80;0,001001119613647461
[4];80;0,001001119613647461
[4];80;0,0010004043579101562
[4];80;0,0010008811950683594
[4];80;0,0010018348693847656
[4];80;0,0009999275207519531
[4];80;0,001001596450805664
[4];80;0,0010006427764892578
[4];80;0,0010006427764892578
[4];80;0,001001119613647461
[4];80;0,0010006427764892578
[4];80;0,002002716064453125
[4];80;0,0010001659393310547
[3];212;0,2081890106201172
[3];212;0,20918917655944824
[3];212;0,20718932151794434
[3];212;0,20718789100646973
[3];212;0,20718789100646973
[3];212;0,20618796348571777
[3];212;0,20818853378295898
[3];212;0,2081897258758545
[3];212;0,20818877220153809
[3];212;0,20718908309936523
[3];212;0,20718812942504883
[3];212;0,20718741416931152
[3];212;0,2081897258758545
[3];212;0,20718812942504883
[3];212;0,2081899642944336
[3];212;0,20618629455566406
[3];212;0,2082533836364746
[3];212;0,21319293975830078
[3];212;0,20969414710998535
[3];212;0,2131938934326172
[3];212;0,21810030937194824
[3];212;0,2085130214691162
[3];212;0,22289252281188965
[3];212;0,21625971794128418
[3];212;0,21753263473510742
[3];212;0,21079039573669434
[3];212;0,21919894218444824
[3];212;0,21119189262390137
[3];212;0,22220230102539062
[3];212;0,21046185493469238
[3];212;0,20918893814086914
[3];212;0,21117258071899414
[3];212;0,20999479293823242
[3];212;0,2101907730102539
[3];212;0,21119332313537598
[3];212;0,2101900577545166
[3];212;0,210191011428833
[3];212;0,2101917266845703
[3];212;0,2081890106201172
[3];212;0,20995640754699707
[3];212;0,21113348007202148
[3];212;0,2101912498474121
[3];212;0,210191011428833
[3];212;0,2107679843902588
[3];212;0,20919013023376465
[3];212;0,21119236946105957
[3];212;0,2091987133026123
[3];212;0,209181547164917
[3];212;0,20919013023376465
[3];212;0,21619725227355957
[3];212;0,20918989181518555
[3];212;0,20919013023376465
[3];212;0,20818805694580078
[3];212;0,21219301223754883
[3];212;0,2131938934326172
[3];212;0,21119213104248047
[3];212;0,20918965339660645
[3];212;0,20919036865234375
[3];212;0,20919060707092285
[3];212;0,20919013023376465
[3];212;0,20819807052612305
[3];212;0,20919013023376465
[3];212;0,20817995071411133
[3];212;0,20869207382202148
[3];212;0,210191011428833
[3];212;0,20819878578186035
[3];212;0,21018123626708984
[3];212;0,21319365501403809
[3];212;0,2101905345916748
[3];212;0,2101907730102539
[3];212;0,21619653701782227
[3];212;0,21119260787963867
[3];212;0,21319365501403809
[3];212;0,2151951789855957
[3];212;0,20918989181518555
[3];212;0,2091996669769287
[3];212;0,2081892490386963
[3];212;0,21018195152282715
[3];212;0,21219277381896973
[3];212;0,21119189262390137
[3];212;0,20918941497802734
[3];212;0,2101912498474121
[3];212;0,20919013023376465
[3];212;0,21119904518127441
[3];212;0,21207141876220703
[3];212;0,21158432960510254
[3];212;0,21044611930847168
[3];212;0,21123600006103516
[3];212;0,21386957168579102
[3];212;0,2220771312713623
[3];212;0,2292766571044922
[3];212;0,2101900577545166
[3];212;0,20919036865234375
[3];212;0,210191011428833
[3];212;0,21119141578674316
[3];212;0,2146754264831543
[3];212;0,2110910415649414
[3];212;0,20919013023376465
[3];212;0,210191011428833
[3];212;0,21119165420532227
[1];264;4,641567230224609
[1];264;4,670221567153931
[1];264;4,737147808074951
[1];264;4,690014600753784
[1];264;4,689113140106201
[1];264;4,65947413444519
[1];264;4,696457624435425
[1];264;4,754665374755859
[1];264;4,76714563369751
[1];264;4,673587322235107
[1];264;4,698228597640991
[1];264;4,6712446212768555
[1];264;4,651227235794067
[1];264;4,65022611618042
[1];264;4,659234523773193
[1];264;4,665239572525024
[1];264;4,656248331069946
[1];264;4,664819955825806
[1];264;4,6602349281311035
[1];264;4,676062822341919
[1];264;4,685492992401123
[1];264;4,650226593017578
[1];264;4,676250219345093
[1];264;4,764196157455444
[1];264;4,672245264053345
[1];264;4,687259674072266
[1];264;4,666240692138672
[1];264;4,675248146057129
[1];264;4,659234523773193
[1];264;4,66733193397522
[1];264;4,670130014419556
[1];264;4,6832568645477295
[1];264;4,6775221824646
[1];264;4,7920777797698975
[1];264;4,658654451370239
[1];264;4,673085451126099
[1];264;4,668243169784546
[1];264;4,64622163772583
[1];264;4,64922571182251
[1];264;4,660242557525635
[1];264;4,650225639343262
[1];264;4,6552300453186035
[1];264;4,655231237411499
[1];264;4,671245098114014
[1];264;4,671245336532593
[1];264;4,6602349281311035
[1];264;4,685257434844971
[1];264;4,672022581100464
[1];264;4,681427240371704
[1];264;4,703555583953857
[1];264;4,669095754623413
[1];264;4,714255332946777
[1];264;4,677721261978149
[1];264;4,684185981750488
[1];264;4,642218828201294
[1];264;4,649226188659668
[1];264;4,67024302482605
[1];264;4,672245740890503
[1];264;4,664672374725342
[1];264;4,698045492172241
[1];264;4,697268962860107
[1];264;4,7633280754089355
[1];264;4,7513182163238525
[1];264;4,772301435470581
[1];264;4,709491968154907
[1];264;4,679551839828491
[1];264;4,704320669174194
[1];264;4,6787824630737305
[1];264;4,670932292938232
[1];264;4,668196439743042
[1];264;4,646221399307251
[1];264;4,680173397064209
[1];264;4,697524785995483
[1];264;4,657231569290161
[1];264;4,655231475830078
[1];264;4,692264080047607
[1];264;4,6762495040893555
[1];264;4,744883298873901
[1];264;4,693264484405518
[1];264;4,6747095584869385
[1];264;4,6862688064575195
[1];264;4,66122579574585
[1];264;4,6752495765686035
[1];264;4,680252552032471
[1];264;4,702273368835449
[1];264;4,6832568645477295
[1];264;4,685349464416504
[1];264;4,649224281311035
[1];264;4,691648244857788
[1];264;4,699665069580078
[1];264;4,669242858886719
[1];264;4,674248218536377
[1];264;4,683256387710571
[1];264;4,676248788833618
[1];264;4,660235166549683
[1];264;4,659234285354614
[1];264;4,660235166549683
[1];264;4,677251100540161
[1];264;4,664238691329956
[1];264;4,6587653160095215
[10];269;22,332294702529907
[10];269;22,348309993743896
[10];269;22,39262080192566
[10];269;22,485585927963257
[10];269;22,498831272125244
[10];269;22,502890586853027
[10];269;22,374768018722534
[10];269;22,371330499649048
[10];269;22,52628755569458
[10];269;22,580776691436768
[10];269;22,519917249679565
[10];269;22,434431552886963
[10];269;22,35642385482788
[10];269;22,429672241210938
[10];269;22,46513295173645
[10];269;22,383341789245605
[10];269;22,374332666397095
[10];269;22,37633466720581
[10];269;22,338300466537476
[10];269;22,373331308364868
[10];269;22,419373750686646
[10];269;22,390347719192505
[10];269;22,40638017654419
[10];269;22,412484407424927
[10];269;22,37970280647278
[10];269;22,377036333084106
[10];269;22,405698776245117
[10];269;22,382374048233032
[10];269;22,360010147094727
[10];269;22,44940161705017
[10];269;22,397353887557983
[10];269;22,46448826789856
[10];269;22,418373346328735
[10];269;22,378336429595947
[10];269;22,373331546783447
[10];269;22,402357578277588
[10];269;22,36432385444641
[10];269;22,380338430404663
[10];269;22,40336012840271
[10];269;22,36031985282898
[10];269;22,47070574760437
[10];269;22,698627710342407
[10];269;22,80472445487976
[10];269;22,79971981048584
[10];269;22,814733505249023
[10];269;23,251304149627686
[10];269;22,749893188476562
[10];269;22,77169394493103
[10];269;22,817581176757812
[10];269;22,829748153686523
[10];269;22,837795734405518
[10];269;22,81554913520813
[10];269;22,834171295166016
[10];269;22,80750012397766
[10];269;22,75204586982727
[10];269;22,814024209976196
[10];269;22,816434144973755
[10];269;22,857353925704956
[10];269;22,8551983833313
[10];269;22,900547742843628
[10];269;22,93775248527527
[10];269;22,99547529220581
[10];269;22,945613145828247
[10];269;23,065388202667236
[10];269;23,04334259033203
[10];269;22,945991277694702
[10];269;23,002858638763428
[10];269;23,05948829650879
[10];269;23,015559196472168
[10];269;22,91076922416687
[10];269;22,78348159790039
[10];269;22,796517372131348
[10];269;22,837754726409912
[10];269;22,898810625076294
[10];269;22,802009344100952
[10];269;22,87979245185852
[10];269;22,93647074699402
[10];269;22,820738792419434
[10];269;22,969424724578857
[10];269;23,021740674972534
[10];269;22,96869730949402
[10];269;22,96687150001526
[10];269;22,907976388931274
[10];269;22,88818120956421
[10];269;22,943851232528687
[10];269;22,871785640716553
[10];269;22,854768991470337
[10];269;22,951857089996338
[10];269;22,899877071380615
[10];269;22,89773964881897
[10];269;22,935829162597656
[10];269;22,88783884048462
[10];269;22,887799978256226
[10];269;22,913714170455933
[10];269;22,869783639907837
[10];269;22,947855234146118
[10];269;22,910820245742798
[10];269;22,863778829574585
[10];269;22,88079285621643
[10];269;22,745858430862427
[10];282;102,37592649459839
[10];291;451,2849895954132

[0, 5, 1, 2, 3, 4, 0];80;0,0
[0, 5, 1, 2, 3, 4, 0];80;0,0
[0, 5, 1, 2, 3, 4, 0];80;0,0010006427764892578
[0, 5, 1, 9, 6, 7, 8, 2, 4, 3, 0];212;0,20918893814086914
