droga;koszt;czas[s];;;;;;;
[5];132;0;;;;;;;
[5];132;0;;;;;;;
[5];132;0,001001358;;;;;;;
[5];132;0;;;;;;;
[5];132;0,001000881;;;;;;;
[5];132;0;;;;;;rozmiar instancji;czas[s]
[5];132;0;;;;;;;
[5];132;0,00100112;;;;;;6;0,0004
[5];132;0;;;;;;6;0,0011
[5];132;0,001000404;;;;;;10;0,2109
[5];132;0;;;;;;12;4,6807
[5];132;0;;;;;;13;22,6935
[5];132;0,001001596;;;;;;14;102,376
[5];132;0;;;;;;15;451,2849
[5];132;0,001000404;;;;;;;
[5];132;0;;;;;;;
[5];132;0;;;;;;;
[5];132;0,001000881;;;;;;;
[5];132;0;;;;;;;
[5];132;0;;;;;;;
[5];132;0,001000643;;;;;;;
[5];132;0;;;;;;;
[5];132;0,00100112;;;;;;;
[5];132;0;;;;;;;
[5];132;0;;;;;;;
[5];132;0,00100112;;;;;;;
[5];132;0;;;;;;;
[5];132;0;;;;;;;
[5];132;0,001000404;;;;;;;
[5];132;0;;;;;;;
[5];132;0,001001835;;;;;;;
[5];132;0;;;;;;;
[5];132;0;;;;;;;
[5];132;0,001000881;;;;;;;
[5];132;0;;;;;;;
[5];132;0;;;;;;;
[5];132;0,001000404;;;;;;;
[5];132;0;;;;;;;
[5];132;0,001000881;;;;;;;
[5];132;0;;;;;;;
[5];132;0;;;;;;;
[5];132;0,00100112;;;;;;;
[5];132;0;;;;;;;
[5];132;0;;;;;;;
[5];132;0,001000881;;;;;;;
[5];132;0;;;;;;;
[5];132;0;;;;;;;
[5];132;0,001000643;;;;;;;
[5];132;0;;;;;;;
[5];132;0,001000881;;;;;;;
[5];132;0;;;;;;;
[5];132;0;;;;;;;
[5];132;0,00100112;;;;;;;
[5];132;0;;;;;;;
[5];132;0;;;;;;;
[5];132;0,001000404;;;;;;;
[5];132;0;;;;;;;
[5];132;0,001001835;;;;;;;
[5];132;0;;;;;;;
[5];132;0;;;;;;;
[5];132;0,001000881;;;;;;;
[5];132;0;;;;;;;
[5];132;0;;;;;;;
[5];132;0,001000404;;;;;;;
[5];132;0;;;;;;;
[5];132;0,001001358;;;;;;;
[5];132;0;;;;;;;
[5];132;0;;;;;;;
[5];132;0,001000643;;;;;;;
[5];132;0;;;;;;;
[5];132;0;;;;;;;
[5];132;0,001000881;;;;;;;
[5];132;0;;;;;;;
[5];132;0;;;;;;;
[5];132;0,00100112;;;;;;;
[5];132;0;;;;;;;
[5];132;0,001000643;;;;;;;
[5];132;0;;;;;;;
[5];132;0;;;;;;;
[5];132;0,001000643;;;;;;;
[5];132;0;;;;;;;
[5];132;0;;;;;;;
[5];132;0,001000881;;;;;;;
[5];132;0;;;;;;;
[5];132;0;;;;;;;
[5];132;0,001001596;;;;;;;
[5];132;0;;;;;;;
[5];132;0,00100112;;;;;;;
[5];132;0;;;;;;;
[5];132;0;;;;;;;
[5];132;0,001000166;;;;;;;
[5];132;0;;;;;;;
[5];132;0;;;;;;;
[5];132;0,00100112;;;;;;;
[5];132;0;;;;;;;
[5];132;0;;;;;;;
[5];132;0,001000643;;;;;;;
[5];132;0;;;;;;;
[5];132;0,00100112;;;;;;;
[5];132;0;;;;;;;
[4];80;0,00200057;;;;;;;
[4];80;0,001000881;;;;;;;
[4];80;0,00100112;;;;;;;
[4];80;0,001000643;;;;;;;
[4];80;0,002002478;;;;;;;
[4];80;0,001000881;;;;;;;
[4];80;0,001000881;;;;;;;
[4];80;0,001000881;;;;;;;
[4];80;0,001001835;;;;;;;
[4];80;0,001000166;;;;;;;
[4];80;0,001001596;;;;;;;
[4];80;0,001000166;;;;;;;
[4];80;0,00100112;;;;;;;
[4];80;0,001000643;;;;;;;
[4];80;0,001000881;;;;;;;
[4];80;0,001000643;;;;;;;
[4];80;0,002002239;;;;;;;
[4];80;0,001001835;;;;;;;
[4];80;0,000999928;;;;;;;
[4];80;0,001001358;;;;;;;
[4];80;0,001000404;;;;;;;
[4];80;0,001000881;;;;;;;
[4];80;0,001000881;;;;;;;
[4];80;0,001000881;;;;;;;
[4];80;0,00100112;;;;;;;
[4];80;0,001001358;;;;;;;
[4];80;0,001000404;;;;;;;
[4];80;0,00100112;;;;;;;
[4];80;0,002001524;;;;;;;
[4];80;0,001001358;;;;;;;
[4];80;0,001000404;;;;;;;
[4];80;0,001000881;;;;;;;
[4];80;0,001001358;;;;;;;
[4];80;0,001000643;;;;;;;
[4];80;0,00100112;;;;;;;
[4];80;0,001000404;;;;;;;
[4];80;0,001001835;;;;;;;
[4];80;0,001000166;;;;;;;
[4];80;0,001001596;;;;;;;
[4];80;0,002001762;;;;;;;
[4];80;0,000999928;;;;;;;
[4];80;0,00100112;;;;;;;
[4];80;0,001000881;;;;;;;
[4];80;0,001000881;;;;;;;
[4];80;0,00100112;;;;;;;
[4];80;0,001001596;;;;;;;
[4];80;0,001000166;;;;;;;
[4];80;0,001001596;;;;;;;
[4];80;0,001000404;;;;;;;
[4];80;0,001000643;;;;;;;
[4];80;0,002002239;;;;;;;
[4];80;0,001000643;;;;;;;
[4];80;0,001000643;;;;;;;
[4];80;0,00100112;;;;;;;
[4];80;0,001001596;;;;;;;
[4];80;0,001000881;;;;;;;
[4];80;0,001000881;;;;;;;
[4];80;0,001000404;;;;;;;
[4];80;0,001000643;;;;;;;
[4];80;0,00100112;;;;;;;
[4];80;0,00100112;;;;;;;
[4];80;0,00100112;;;;;;;
[4];80;0,001000404;;;;;;;
[4];80;0,002002954;;;;;;;
[4];80;0,000999928;;;;;;;
[4];80;0,001001596;;;;;;;
[4];80;0,001000643;;;;;;;
[4];80;0,001000166;;;;;;;
[4];80;0,00100112;;;;;;;
[4];80;0,001001358;;;;;;;
[4];80;0,001000404;;;;;;;
[4];80;0,00100112;;;;;;;
[4];80;0,001000881;;;;;;;
[4];80;0,001001596;;;;;;;
[4];80;0,002001524;;;;;;;
[4];80;0,001000404;;;;;;;
[4];80;0,00100112;;;;;;;
[4];80;0,00100112;;;;;;;
[4];80;0,001000404;;;;;;;
[4];80;0,00100112;;;;;;;
[4];80;0,00100112;;;;;;;
[4];80;0,001000643;;;;;;;
[4];80;0,001001358;;;;;;;
[4];80;0,001000643;;;;;;;
[4];80;0,001001358;;;;;;;
[4];80;0,001000404;;;;;;;
[4];80;0,002001762;;;;;;;
[4];80;0,00100112;;;;;;;
[4];80;0,00100112;;;;;;;
[4];80;0,001000404;;;;;;;
[4];80;0,001000881;;;;;;;
[4];80;0,001001835;;;;;;;
[4];80;0,000999928;;;;;;;
[4];80;0,001001596;;;;;;;
[4];80;0,001000643;;;;;;;
[4];80;0,001000643;;;;;;;
[4];80;0,00100112;;;;;;;
[4];80;0,001000643;;;;;;;
[4];80;0,002002716;;;;;;;
[4];80;0,001000166;;;;;;;
[3];212;0,208189011;;;;;;;
[3];212;0,209189177;;;;;;;
[3];212;0,207189322;;;;;;;
[3];212;0,207187891;;;;;;;
[3];212;0,207187891;;;;;;;
[3];212;0,206187963;;;;;;;
[3];212;0,208188534;;;;;;;
[3];212;0,208189726;;;;;;;
[3];212;0,208188772;;;;;;;
[3];212;0,207189083;;;;;;;
[3];212;0,207188129;;;;;;;
[3];212;0,207187414;;;;;;;
[3];212;0,208189726;;;;;;;
[3];212;0,207188129;;;;;;;
[3];212;0,208189964;;;;;;;
[3];212;0,206186295;;;;;;;
[3];212;0,208253384;;;;;;;
[3];212;0,21319294;;;;;;;
[3];212;0,209694147;;;;;;;
[3];212;0,213193893;;;;;;;
[3];212;0,218100309;;;;;;;
[3];212;0,208513021;;;;;;;
[3];212;0,222892523;;;;;;;
[3];212;0,216259718;;;;;;;
[3];212;0,217532635;;;;;;;
[3];212;0,210790396;;;;;;;
[3];212;0,219198942;;;;;;;
[3];212;0,211191893;;;;;;;
[3];212;0,222202301;;;;;;;
[3];212;0,210461855;;;;;;;
[3];212;0,209188938;;;;;;;
[3];212;0,211172581;;;;;;;
[3];212;0,209994793;;;;;;;
[3];212;0,210190773;;;;;;;
[3];212;0,211193323;;;;;;;
[3];212;0,210190058;;;;;;;
[3];212;0,210191011;;;;;;;
[3];212;0,210191727;;;;;;;
[3];212;0,208189011;;;;;;;
[3];212;0,209956408;;;;;;;
[3];212;0,21113348;;;;;;;
[3];212;0,21019125;;;;;;;
[3];212;0,210191011;;;;;;;
[3];212;0,210767984;;;;;;;
[3];212;0,20919013;;;;;;;
[3];212;0,211192369;;;;;;;
[3];212;0,209198713;;;;;;;
[3];212;0,209181547;;;;;;;
[3];212;0,20919013;;;;;;;
[3];212;0,216197252;;;;;;;
[3];212;0,209189892;;;;;;;
[3];212;0,20919013;;;;;;;
[3];212;0,208188057;;;;;;;
[3];212;0,212193012;;;;;;;
[3];212;0,213193893;;;;;;;
[3];212;0,211192131;;;;;;;
[3];212;0,209189653;;;;;;;
[3];212;0,209190369;;;;;;;
[3];212;0,209190607;;;;;;;
[3];212;0,20919013;;;;;;;
[3];212;0,208198071;;;;;;;
[3];212;0,20919013;;;;;;;
[3];212;0,208179951;;;;;;;
[3];212;0,208692074;;;;;;;
[3];212;0,210191011;;;;;;;
[3];212;0,208198786;;;;;;;
[3];212;0,210181236;;;;;;;
[3];212;0,213193655;;;;;;;
[3];212;0,210190535;;;;;;;
[3];212;0,210190773;;;;;;;
[3];212;0,216196537;;;;;;;
[3];212;0,211192608;;;;;;;
[3];212;0,213193655;;;;;;;
[3];212;0,215195179;;;;;;;
[3];212;0,209189892;;;;;;;
[3];212;0,209199667;;;;;;;
[3];212;0,208189249;;;;;;;
[3];212;0,210181952;;;;;;;
[3];212;0,212192774;;;;;;;
[3];212;0,211191893;;;;;;;
[3];212;0,209189415;;;;;;;
[3];212;0,21019125;;;;;;;
[3];212;0,20919013;;;;;;;
[3];212;0,211199045;;;;;;;
[3];212;0,212071419;;;;;;;
[3];212;0,21158433;;;;;;;
[3];212;0,210446119;;;;;;;
[3];212;0,211236;;;;;;;
[3];212;0,213869572;;;;;;;
[3];212;0,222077131;;;;;;;
[3];212;0,229276657;;;;;;;
[3];212;0,210190058;;;;;;;
[3];212;0,209190369;;;;;;;
[3];212;0,210191011;;;;;;;
[3];212;0,211191416;;;;;;;
[3];212;0,214675426;;;;;;;
[3];212;0,211091042;;;;;;;
[3];212;0,20919013;;;;;;;
[3];212;0,210191011;;;;;;;
[3];212;0,211191654;;;;;;;
[1];264;4,64156723;;;;;;;
[1];264;4,670221567;;;;;;;
[1];264;4,737147808;;;;;;;
[1];264;4,690014601;;;;;;;
[1];264;4,68911314;;;;;;;
[1];264;4,659474134;;;;;;;
[1];264;4,696457624;;;;;;;
[1];264;4,754665375;;;;;;;
[1];264;4,767145634;;;;;;;
[1];264;4,673587322;;;;;;;
[1];264;4,698228598;;;;;;;
[1];264;4,671244621;;;;;;;
[1];264;4,651227236;;;;;;;
[1];264;4,650226116;;;;;;;
[1];264;4,659234524;;;;;;;
[1];264;4,665239573;;;;;;;
[1];264;4,656248331;;;;;;;
[1];264;4,664819956;;;;;;;
[1];264;4,660234928;;;;;;;
[1];264;4,676062822;;;;;;;
[1];264;4,685492992;;;;;;;
[1];264;4,650226593;;;;;;;
[1];264;4,676250219;;;;;;;
[1];264;4,764196157;;;;;;;
[1];264;4,672245264;;;;;;;
[1];264;4,687259674;;;;;;;
[1];264;4,666240692;;;;;;;
[1];264;4,675248146;;;;;;;
[1];264;4,659234524;;;;;;;
[1];264;4,667331934;;;;;;;
[1];264;4,670130014;;;;;;;
[1];264;4,683256865;;;;;;;
[1];264;4,677522182;;;;;;;
[1];264;4,79207778;;;;;;;
[1];264;4,658654451;;;;;;;
[1];264;4,673085451;;;;;;;
[1];264;4,66824317;;;;;;;
[1];264;4,646221638;;;;;;;
[1];264;4,649225712;;;;;;;
[1];264;4,660242558;;;;;;;
[1];264;4,650225639;;;;;;;
[1];264;4,655230045;;;;;;;
[1];264;4,655231237;;;;;;;
[1];264;4,671245098;;;;;;;
[1];264;4,671245337;;;;;;;
[1];264;4,660234928;;;;;;;
[1];264;4,685257435;;;;;;;
[1];264;4,672022581;;;;;;;
[1];264;4,68142724;;;;;;;
[1];264;4,703555584;;;;;;;
[1];264;4,669095755;;;;;;;
[1];264;4,714255333;;;;;;;
[1];264;4,677721262;;;;;;;
[1];264;4,684185982;;;;;;;
[1];264;4,642218828;;;;;;;
[1];264;4,649226189;;;;;;;
[1];264;4,670243025;;;;;;;
[1];264;4,672245741;;;;;;;
[1];264;4,664672375;;;;;;;
[1];264;4,698045492;;;;;;;
[1];264;4,697268963;;;;;;;
[1];264;4,763328075;;;;;;;
[1];264;4,751318216;;;;;;;
[1];264;4,772301435;;;;;;;
[1];264;4,709491968;;;;;;;
[1];264;4,67955184;;;;;;;
[1];264;4,704320669;;;;;;;
[1];264;4,678782463;;;;;;;
[1];264;4,670932293;;;;;;;
[1];264;4,66819644;;;;;;;
[1];264;4,646221399;;;;;;;
[1];264;4,680173397;;;;;;;
[1];264;4,697524786;;;;;;;
[1];264;4,657231569;;;;;;;
[1];264;4,655231476;;;;;;;
[1];264;4,69226408;;;;;;;
[1];264;4,676249504;;;;;;;
[1];264;4,744883299;;;;;;;
[1];264;4,693264484;;;;;;;
[1];264;4,674709558;;;;;;;
[1];264;4,686268806;;;;;;;
[1];264;4,661225796;;;;;;;
[1];264;4,675249577;;;;;;;
[1];264;4,680252552;;;;;;;
[1];264;4,702273369;;;;;;;
[1];264;4,683256865;;;;;;;
[1];264;4,685349464;;;;;;;
[1];264;4,649224281;;;;;;;
[1];264;4,691648245;;;;;;;
[1];264;4,69966507;;;;;;;
[1];264;4,669242859;;;;;;;
[1];264;4,674248219;;;;;;;
[1];264;4,683256388;;;;;;;
[1];264;4,676248789;;;;;;;
[1];264;4,660235167;;;;;;;
[1];264;4,659234285;;;;;;;
[1];264;4,660235167;;;;;;;
[1];264;4,677251101;;;;;;;
[1];264;4,664238691;;;;;;;
[1];264;4,658765316;;;;;;;
[10];269;22,3322947;;;;;;;
[10];269;22,34830999;;;;;;;
[10];269;22,3926208;;;;;;;
[10];269;22,48558593;;;;;;;
[10];269;22,49883127;;;;;;;
[10];269;22,50289059;;;;;;;
[10];269;22,37476802;;;;;;;
[10];269;22,3713305;;;;;;;
[10];269;22,52628756;;;;;;;
[10];269;22,58077669;;;;;;;
[10];269;22,51991725;;;;;;;
[10];269;22,43443155;;;;;;;
[10];269;22,35642385;;;;;;;
[10];269;22,42967224;;;;;;;
[10];269;22,46513295;;;;;;;
[10];269;22,38334179;;;;;;;
[10];269;22,37433267;;;;;;;
[10];269;22,37633467;;;;;;;
[10];269;22,33830047;;;;;;;
[10];269;22,37333131;;;;;;;
[10];269;22,41937375;;;;;;;
[10];269;22,39034772;;;;;;;
[10];269;22,40638018;;;;;;;
[10];269;22,41248441;;;;;;;
[10];269;22,37970281;;;;;;;
[10];269;22,37703633;;;;;;;
[10];269;22,40569878;;;;;;;
[10];269;22,38237405;;;;;;;
[10];269;22,36001015;;;;;;;
[10];269;22,44940162;;;;;;;
[10];269;22,39735389;;;;;;;
[10];269;22,46448827;;;;;;;
[10];269;22,41837335;;;;;;;
[10];269;22,37833643;;;;;;;
[10];269;22,37333155;;;;;;;
[10];269;22,40235758;;;;;;;
[10];269;22,36432385;;;;;;;
[10];269;22,38033843;;;;;;;
[10];269;22,40336013;;;;;;;
[10];269;22,36031985;;;;;;;
[10];269;22,47070575;;;;;;;
[10];269;22,69862771;;;;;;;
[10];269;22,80472445;;;;;;;
[10];269;22,79971981;;;;;;;
[10];269;22,81473351;;;;;;;
[10];269;23,25130415;;;;;;;
[10];269;22,74989319;;;;;;;
[10];269;22,77169394;;;;;;;
[10];269;22,81758118;;;;;;;
[10];269;22,82974815;;;;;;;
[10];269;22,83779573;;;;;;;
[10];269;22,81554914;;;;;;;
[10];269;22,8341713;;;;;;;
[10];269;22,80750012;;;;;;;
[10];269;22,75204587;;;;;;;
[10];269;22,81402421;;;;;;;
[10];269;22,81643414;;;;;;;
[10];269;22,85735393;;;;;;;
[10];269;22,85519838;;;;;;;
[10];269;22,90054774;;;;;;;
[10];269;22,93775249;;;;;;;
[10];269;22,99547529;;;;;;;
[10];269;22,94561315;;;;;;;
[10];269;23,0653882;;;;;;;
[10];269;23,04334259;;;;;;;
[10];269;22,94599128;;;;;;;
[10];269;23,00285864;;;;;;;
[10];269;23,0594883;;;;;;;
[10];269;23,0155592;;;;;;;
[10];269;22,91076922;;;;;;;
[10];269;22,7834816;;;;;;;
[10];269;22,79651737;;;;;;;
[10];269;22,83775473;;;;;;;
[10];269;22,89881063;;;;;;;
[10];269;22,80200934;;;;;;;
[10];269;22,87979245;;;;;;;
[10];269;22,93647075;;;;;;;
[10];269;22,82073879;;;;;;;
[10];269;22,96942472;;;;;;;
[10];269;23,02174067;;;;;;;
[10];269;22,96869731;;;;;;;
[10];269;22,9668715;;;;;;;
[10];269;22,90797639;;;;;;;
[10];269;22,88818121;;;;;;;
[10];269;22,94385123;;;;;;;
[10];269;22,87178564;;;;;;;
[10];269;22,85476899;;;;;;;
[10];269;22,95185709;;;;;;;
[10];269;22,89987707;;;;;;;
[10];269;22,89773965;;;;;;;
[10];269;22,93582916;;;;;;;
[10];269;22,88783884;;;;;;;
[10];269;22,88779998;;;;;;;
[10];269;22,91371417;;;;;;;
[10];269;22,86978364;;;;;;;
[10];269;22,94785523;;;;;;;
[10];269;22,91082025;;;;;;;
[10];269;22,86377883;;;;;;;
[10];269;22,88079286;;;;;;;
[10];269;22,74585843;;;;;;;
